ticker,c,weekly_low,25DMA,25DMA_shifted,long_signal_value,short_signal_value,signal,signal_status_prior_week,vol_ratio,25DMA_range_bps,25D_ADV_Shares_MM,25D_ADV_nortional_B,avg_trade_size
BDX,202.75,193.6,197.10080000000002,193.7144,-0.01776147027307868,0.02866147676721748,Neutral,Neutral,2.7663785172930253,0.01905582815467706,1.92752936,0.38038383134715203,48.67426770485725
BMNR,30.06,29.16,32.041199999999996,33.0432,-0.08992172577806064,-0.061832890153926755,Short,Neutral,7.6628329680426726,0.07637601913458855,44.42350516,1.444345702620696,161.14982520465713
COIN,240.78,237.15,250.84400000000002,265.3908,-0.05459169842611351,-0.040120553013028096,Short,Short,4.579698941145703,0.04074593128400668,7.6720318,1.9328680950146317,42.46442467151422
ED,99.21,96.96,98.4356,98.8676,-0.01499051156288985,0.007867072481906953,Neutral,Neutral,2.042759024724817,0.014867478395626466,1.8221666,0.179182865598156,50.97157603127016
EMBC,12.76,11.38,11.893999999999998,12.8354,-0.043215066420043524,0.07280982007735005,Neutral,Neutral,6.370740977452004,0.038328841027907026,0.72221668,0.00856518692544,71.71753281400063
EOSE,15.28,12.9,13.533999999999999,14.108799999999999,-0.04684498300576316,0.12900842323038278,Neutral,Short,11.437701611912578,0.0781770437425746,15.043954,0.20788331849609598,175.46690612546922
ETH,29.0,28.79,28.822799999999997,28.7364,-0.0011379879817366172,0.0061479106818214295,Neutral,Neutral,3.285818571429862,0.04173442125401736,8.33248824,0.24176866383082,131.0445277173003
IBM,304.22,294.25,303.9064,304.1152,-0.03177425681064966,0.0010318966629199256,Neutral,Short,1.8564608513612404,0.019938517351835293,3.55410868,1.077974021059428,35.063677237416194
IONQ,49.45,46.52,49.59,48.6368,-0.061907642669893126,-0.002823149828594486,Neutral,Short,7.448948675731108,0.07179071559813258,17.994106640000002,0.895736583154848,48.61804937821743
KEYS,207.3,205.19,207.1988,194.7112,-0.009695036843842764,0.0004884198171032155,Neutral,Neutral,2.3844472834190373,0.020760733847517674,1.03230952,0.213386009159188,41.33374097367808
MDB,408.12,400.86,421.6964,373.90560000000005,-0.04941090319955297,-0.03219472587387509,Short,Neutral,3.5878542122558534,0.03256538253726834,1.49511032,0.62704437565562,27.01147201105736
MMM,165.24,160.8,163.77120000000002,167.95399999999998,-0.01814238400891005,0.008968609865470774,Neutral,Neutral,1.5737124291338271,0.018389092245742908,2.4124492400000004,0.395964179650284,42.428077261083374
OKTA,92.23,85.01,89.03280000000001,84.25280000000001,-0.04518334815933008,0.03591036112533802,Neutral,Short,3.280231523014554,0.027986860461865694,2.46241188,0.21976117479970403,48.53208324300889
QS,10.61,10.525,11.413599999999999,12.313999999999998,-0.0778544893810891,-0.07040723347585333,Short,Short,4.900879362073491,0.05345086800482811,14.63189268,0.16868452474972398,184.21770323252372
CRML,14.975,8.68,9.2206,8.484,-0.05862959026527553,0.6240808624167625,Neutral,Neutral,18.936293780040053,0.11470887474554246,11.38205924,0.124975416388888,180.27597932948342
RDDT,244.56,235.01,234.518,212.5052,0.002097919989083952,0.042819740915409486,Neutral,Neutral,13.028156161673484,0.04766781204106461,3.90757896,0.9161577683919679,51.77968133775043
RBLX,73.27,71.78,84.97319999999999,94.5544,-0.1552630711800896,-0.13772813075181348,Short,Short,3.0109642983026585,0.0322790504354522,7.89441656,0.6618481953153641,79.98516354635852
SO,87.01,85.22,86.39920000000001,88.1752,-0.01364827452106048,0.007069509902869442,Neutral,Neutral,1.0951294547335897,0.014114234422463819,5.40750792,0.46648911852832803,68.71808079258268
UNP,228.44,224.32,233.972,230.30559999999997,-0.04125279948027975,-0.023643854820234945,Neutral,Neutral,2.2778816611515067,0.015776832175892846,2.66983304,0.6249992682063721,50.66228388641404
URA,50.31,46.66,46.6972,45.391200000000005,-0.0007966216389849,0.07736652304634967,Neutral,Neutral,6.413162452330698,0.03711843860455917,4.61031092,0.21657172033062,99.22012145123531
