ticker,c,weekly_low,25DMA,25DMA_shifted,long_signal_value,short_signal_value,signal,signal_status_prior_week,vol_ratio,25DMA_range_bps,25D_ADV_Shares_MM,25D_ADV_nortional_B,avg_trade_size
DIA,495.02,484.245,484.51599999999996,474.7892,-0.0005593210544129775,0.02167936662566359,Neutral,Neutral,0.8578797647053845,0.00916858258894548,5.07930124,2.462885074293156,59.141136298021884
SPY,694.07,686.375,685.1772,676.242,0.001748160913702367,0.012978832337094813,Neutral,Neutral,1.0,0.007381892840833606,76.91710972,52.63631213009971,81.06011109289169
QQQ,626.65,616.72,619.3136,612.4576000000001,-0.0041878621751563734,0.011846017914026152,Neutral,Neutral,1.5975425401434804,0.01037938150051761,48.685829840000004,30.11027553417242,60.493242976446666
MDY,631.38,612.35,613.7156,598.1024000000001,-0.0022251348996179536,0.028782713035158305,Neutral,Neutral,1.082950940926756,0.01109283675504143,0.9096105600000001,0.558608815834888,45.482212370242216
IWM,260.23,249.57,252.2124,244.9664,-0.010476883769394403,0.031789079363266894,Neutral,Neutral,1.5075831342088284,0.013182844553129604,35.81995276,9.039147398260564,100.4567719388641
OEF,346.07,343.38,343.58200000000005,340.31,-0.0005879236979820101,0.0072413572305881635,Neutral,Neutral,1.0595455881134714,0.007592457933569111,0.43660796,0.15004966542005999,58.807596945353566
SLV,72.38,66.92,62.535199999999996,51.2364,0.07011730993104692,0.1574281364735381,Long,Long,3.3220961572075356,0.032394084654621666,74.2330814,4.770638373679796,175.67700929060626
GLD,414.47,406.15,400.49760000000003,385.006,0.014113442877060794,0.03488759982581666,Neutral,Neutral,0.9532771706294698,0.011560803419186215,10.92958612,4.38477213259028,53.95136252791742
USO,70.78,67.345,69.34160000000001,70.086,-0.028793682291726966,0.02074368056116367,Neutral,Neutral,1.8569926294469445,0.015643846880960415,4.789234759999999,0.33107529995399604,85.52112220441413
XLE,46.67,45.08,45.2376,45.2454,-0.0034838276124286474,0.031663925584027475,Neutral,Neutral,0.9080202251351046,0.015853144595521132,33.18256432,1.5077185876439279,315.83703068152755
XLF,55.73,54.82,54.940799999999996,53.1328,-0.002198730269672003,0.014364552390937174,Neutral,Neutral,0.8903436507531707,0.01102700676011673,36.4416,2.002388089842844,345.87844791728565
EEM,57.14,56.36,54.88360000000001,54.2004,0.026900567747013514,0.041112463468139696,Neutral,Neutral,0.8915793485214005,0.006996661334433413,26.108913960000002,1.4337772825189359,619.345365696704
ARKK,80.29,79.54,80.3976,78.6308,-0.01066698508413175,-0.001338348408410087,Neutral,Neutral,2.3687034937991895,0.021133810531826995,7.20074548,0.580233587520608,103.05045156310305
UVXY,34.25,33.95,39.2804,49.8608,-0.13570126577122427,-0.12806386900337063,Short,Short,5.372468568561421,0.040097586289790425,7.23154696,0.293602403597736,93.80993025343554
c:EURUSD,1.1636,1.16179,1.1732208,1.1676504,-0.009743093542153235,-0.00820033194092705,Neutral,Neutral,0.4145898259466133,0.00337090814374595,0.13096512,0.000153630135636,1.0
c:GBPUSD,1.3402,1.33915,1.3445496,1.3332088,-0.004015917300484741,-0.0032349866453419366,Neutral,Neutral,0.49875199647496843,0.004644586873097811,0.16601896,0.00022318372443199996,1.0
